date,home_team,away_team,home_score,away_score,tournament,country,neutral,resultado,home_code,away_code
2006-06-17,Italy,United States,1,1,World Cup,Germany,True,0,31,69
2006-06-18,Croatia,Japan,0,0,World Cup,Germany,True,0,16,34
2006-06-18,Brazil,Australia,2,0,World Cup,Germany,True,1,8,3
2006-06-18,France,South Korea,1,1,World Cup,Germany,True,0,23,58
2006-06-19,Ukraine,Saudi Arabia,4,0,World Cup,Germany,True,1,67,50
2006-06-19,Switzerland,Togo,2,0,World Cup,Germany,True,1,62,63
2006-06-19,Spain,Tunisia,3,1,World Cup,Germany,True,1,60,65
2006-06-20,Poland,Costa Rica,2,1,World Cup,Germany,True,1,45,15
2006-06-20,Paraguay,Trinidad and Tobago,2,0,World Cup,Germany,True,1,43,64
2006-06-20,Germany,Ecuador,3,0,World Cup,Germany,False,1,24,20
2006-06-20,England,Sweden,2,2,World Cup,Germany,True,0,22,61
2006-06-21,Angola,Iran,1,1,World Cup,Germany,True,0,1,29
2006-06-21,Ivory Coast,Serbia and Montenegro,3,2,World Cup,Germany,True,1,32,54
2006-06-21,Portugal,Mexico,2,1,World Cup,Germany,True,1,46,35
2006-06-21,Argentina,Netherlands,0,0,World Cup,Germany,True,0,2,37
2006-06-22,Brazil,Japan,4,1,World Cup,Germany,True,1,8,34
2006-06-22,Australia,Croatia,2,2,World Cup,Germany,True,0,3,16
2006-06-22,Ghana,United States,2,1,World Cup,Germany,True,1,25,69
2006-06-22,Italy,Czechia,2,0,World Cup,Germany,True,1,31,17
2006-06-23,Switzerland,South Korea,2,0,World Cup,Germany,True,1,62,58
2006-06-23,Spain,Saudi Arabia,1,0,World Cup,Germany,True,1,60,50
2006-06-23,France,Togo,2,0,World Cup,Germany,True,1,23,63
2006-06-23,Ukraine,Tunisia,1,0,World Cup,Germany,True,1,67,65
2006-06-24,Argentina,Mexico,2,1,World Cup,Germany,True,1,2,35
2006-06-24,Germany,Sweden,2,0,World Cup,Germany,False,1,24,61
2006-06-25,England,Ecuador,1,0,World Cup,Germany,True,1,22,20
2006-06-25,Portugal,Netherlands,1,0,World Cup,Germany,True,1,46,37
2006-06-26,Italy,Australia,1,0,World Cup,Germany,True,1,31,3
2006-06-26,Switzerland,Ukraine,0,0,World Cup,Germany,True,0,62,67
2006-06-27,Brazil,Ghana,3,0,World Cup,Germany,True,1,8,25
2006-06-27,France,Spain,3,1,World Cup,Germany,True,1,23,60
2006-06-30,Germany,Argentina,1,1,World Cup,Germany,False,0,24,2
2006-06-30,Italy,Ukraine,3,0,World Cup,Germany,True,1,31,67
2006-07-01,France,Brazil,1,0,World Cup,Germany,True,1,23,8
2006-07-01,England,Portugal,0,0,World Cup,Germany,True,0,22,46
2006-07-04,Germany,Italy,0,2,World Cup,Germany,False,2,24,31
2006-07-05,France,Portugal,1,0,World Cup,Germany,True,1,23,46
2006-07-08,Germany,Portugal,3,1,World Cup,Germany,False,1,24,46
2006-07-09,France,Italy,1,1,World Cup,Germany,True,0,23,31
2010-06-11,South Africa,Mexico,1,1,World Cup,South Africa,False,0,57,35
2010-06-11,France,Uruguay,0,0,World Cup,South Africa,True,0,23,70
2010-06-12,South Korea,Greece,2,0,World Cup,South Africa,True,1,58,26
2010-06-12,Argentina,Nigeria,1,0,World Cup,South Africa,True,1,2,39
